"size","sim","serie","p1","p2","p3"
100,6,"x3",21,18,16
100,6,"x4",29,25,15
100,6,"x5",25,17,13
100,6,"x6",28,27,26
100,6,"x7",26,19,15
100,6,"x8",27,17,1
100,6,"x9",26,14,9
100,6,"x10",26,22,6
100,6,"x11",25,7,0
100,6,"x12",29,21,15
100,6,"x13",29,28,27
100,6,"x14",12,7,0
100,7,"x1",29,25,17
100,7,"x2",29,19,16
100,7,"x3",18,16,4
100,7,"x4",28,26,20
100,7,"x5",27,25,24
100,7,"x6",27,22,21
100,7,"x7",29,13,8
100,7,"x8",2,0,0
100,7,"x9",26,0,0
100,7,"x10",24,7,4
100,7,"x11",18,0,0
100,7,"x12",29,19,0
100,7,"x13",14,11,7
100,7,"x14",29,28,27
100,8,"x1",3,1,0
100,8,"x2",29,28,24
100,8,"x3",29,14,12
100,8,"x4",26,19,16
100,8,"x5",29,24,20
100,8,"x6",28,22,21
100,8,"x7",29,21,17
100,8,"x8",22,13,8
100,8,"x9",6,5,0
100,8,"x10",26,24,23
100,8,"x11",9,8,4
100,8,"x12",29,24,23
100,8,"x13",28,12,10
100,8,"x14",16,15,14
100,9,"x1",22,19,13
100,9,"x2",19,14,13
100,9,"x3",19,12,8
100,9,"x4",27,25,24
100,9,"x5",28,24,21
100,9,"x6",NA,28,27
100,9,"x7",3,1,0
100,9,"x8",28,25,13
100,9,"x9",28,0,0
100,9,"x10",29,15,4
100,9,"x11",29,28,27
100,9,"x12",29,10,5
100,9,"x13",29,23,21
100,9,"x14",14,11,7
100,10,"x1",28,22,16
100,10,"x2",12,10,0
100,10,"x3",29,27,18
100,10,"x4",23,18,0
100,10,"x5",24,0,0
100,10,"x6",28,27,26
100,10,"x7",22,17,11
100,10,"x8",23,20,0
100,10,"x9",28,24,22
100,10,"x10",29,15,0
100,10,"x11",19,0,0
100,10,"x12",29,28,27
100,10,"x13",28,27,21
100,10,"x14",20,2,0
100,11,"x1",28,22,21
100,11,"x2",23,2,0
100,11,"x3",17,2,1
100,11,"x4",28,26,17
100,11,"x5",27,24,23
100,11,"x6",26,25,24
100,11,"x7",26,15,14
100,11,"x8",26,15,0
100,11,"x9",25,18,16
100,11,"x10",8,0,0
100,11,"x11",16,12,0
100,11,"x12",28,26,20
100,11,"x13",29,21,19
100,11,"x14",29,28,22
100,12,"x1",23,7,0
100,12,"x2",29,16,9
100,12,"x3",28,26,23
100,12,"x4",29,28,14
100,12,"x5",27,26,19
100,12,"x6",22,0,0
100,12,"x7",28,4,1
100,12,"x8",28,21,2
100,12,"x9",2,0,0
100,12,"x10",0,0,0
100,12,"x11",25,15,0
100,12,"x12",26,23,15
100,12,"x13",27,23,21
100,12,"x14",20,8,1
100,13,"x1",22,13,4
100,13,"x2",28,26,14
100,13,"x3",27,25,19
100,13,"x4",26,25,20
100,13,"x5",0,0,0
100,13,"x6",28,23,19
100,13,"x7",28,13,7
100,13,"x8",25,20,6
100,13,"x9",29,13,0
100,13,"x10",26,24,23
100,13,"x11",27,21,20
100,13,"x12",18,17,0
100,13,"x13",17,0,0
100,13,"x14",28,26,24
100,14,"x1",19,3,0
100,14,"x2",29,3,0
100,14,"x3",27,18,0
100,14,"x4",23,22,20
100,14,"x5",26,25,19
100,14,"x6",22,21,17
100,14,"x7",28,27,22
