"size","sim","serie","p1","p2","p3"
100,17,"x4",1,0,0
100,17,"x5",4,0,0
100,17,"x6",1,0,0
100,17,"x7",2,1,0
100,17,"x8",22,2,1
100,17,"x9",13,12,1
100,17,"x10",25,7,5
100,17,"x11",5,4,0
100,17,"x12",2,1,0
100,17,"x13",1,0,0
100,17,"x14",26,1,0
100,18,"x1",4,3,2
100,18,"x2",29,5,3
100,18,"x3",2,1,0
100,18,"x4",0,0,0
100,18,"x5",30,4,0
100,18,"x6",0,0,0
100,18,"x7",1,0,0
100,18,"x8",3,2,1
100,18,"x9",24,13,11
100,18,"x10",13,10,9
100,18,"x11",12,0,0
100,18,"x12",2,1,0
100,18,"x13",1,0,0
100,18,"x14",14,3,1
100,19,"x1",17,4,2
100,19,"x2",14,3,1
100,19,"x3",2,1,0
100,19,"x4",1,0,0
100,19,"x5",0,0,0
100,19,"x6",0,0,0
100,19,"x7",19,1,0
100,19,"x8",3,2,1
100,19,"x9",12,2,1
100,19,"x10",24,15,10
100,19,"x11",12,0,0
100,19,"x12",2,1,0
100,19,"x13",2,1,0
100,19,"x14",15,8,1
100,20,"x1",8,3,1
100,20,"x2",23,4,3
100,20,"x3",2,1,0
100,20,"x4",2,0,0
100,20,"x5",4,2,0
100,20,"x6",2,0,0
100,20,"x7",1,0,0
100,20,"x8",2,1,0
100,20,"x9",12,5,2
100,20,"x10",21,10,8
100,20,"x11",24,0,0
100,20,"x12",26,2,1
100,20,"x13",2,1,0
100,20,"x14",9,3,1
100,21,"x1",1,0,0
100,21,"x2",7,4,3
100,21,"x3",2,1,0
100,21,"x4",2,0,0
100,21,"x5",4,0,0
100,21,"x6",2,1,0
100,21,"x7",1,0,0
100,21,"x8",2,1,0
100,21,"x9",16,4,1
100,21,"x10",16,7,5
100,21,"x11",12,3,0
100,21,"x12",2,1,0
100,21,"x13",1,0,0
100,21,"x14",16,3,1
100,22,"x1",19,2,1
100,22,"x2",19,18,3
100,22,"x3",2,1,0
100,22,"x4",2,1,0
100,22,"x5",15,13,5
100,22,"x6",4,3,1
100,22,"x7",1,0,0
100,22,"x8",3,2,1
100,22,"x9",23,19,13
100,22,"x10",13,8,2
100,22,"x11",0,0,0
100,22,"x12",2,1,0
100,22,"x13",1,0,0
100,22,"x14",14,11,3
100,23,"x1",4,1,0
100,23,"x2",3,1,0
100,23,"x3",1,0,0
100,23,"x4",13,1,0
100,23,"x5",5,0,0
100,23,"x6",1,0,0
100,23,"x7",1,0,0
100,23,"x8",2,1,0
100,23,"x9",11,1,0
100,23,"x10",16,13,9
100,23,"x11",28,0,0
100,23,"x12",4,3,2
100,23,"x13",1,0,0
100,23,"x14",1,0,0
100,24,"x1",18,3,1
100,24,"x2",12,3,1
100,24,"x3",3,2,1
100,24,"x4",1,0,0
100,24,"x5",21,9,3
100,24,"x6",2,1,0
100,24,"x7",24,1,0
100,24,"x8",7,2,1
100,24,"x9",14,2,1
100,24,"x10",15,13,10
100,24,"x11",0,0,0
100,24,"x12",7,2,1
100,24,"x13",1,0,0
100,24,"x14",3,1,0
100,25,"x1",28,13,12
100,25,"x2",3,1,0
100,25,"x3",8,3,2
100,25,"x4",1,0,0
100,25,"x5",0,0,0
100,25,"x6",3,1,0
100,25,"x7",12,1,0
100,25,"x8",3,2,1
100,25,"x9",13,1,0
100,25,"x10",25,15,7
100,25,"x11",0,0,0
100,25,"x12",16,9,2
100,25,"x13",2,1,0
100,25,"x14",5,3,1
100,26,"x1",1,0,0
100,26,"x2",1,0,0
100,26,"x3",3,2,1
100,26,"x4",8,4,1
100,26,"x5",9,0,0
100,26,"x6",1,0,0
100,26,"x7",1,0,0
100,26,"x8",18,16,13
100,26,"x9",12,1,0
100,26,"x10",24,16,11
100,26,"x11",0,0,0
100,26,"x12",2,1,0
100,26,"x13",1,0,0
100,26,"x14",20,15,3
100,27,"x1",15,1,0
100,27,"x2",4,3,1
100,27,"x3",1,0,0
100,27,"x4",1,0,0
100,27,"x5",4,0,0
100,27,"x6",1,0,0
100,27,"x7",14,1,0
100,27,"x8",3,2,1
100,27,"x9",13,2,1
100,27,"x10",13,9,8
100,27,"x11",24,12,7
100,27,"x12",1,0,0
100,27,"x13",1,0,0
100,27,"x14",8,3,1
100,28,"x1",12,6,4
100,28,"x2",5,3,1
100,28,"x3",24,5,3
100,28,"x4",2,1,0
100,28,"x5",0,0,0
100,28,"x6",1,0,0
100,28,"x7",1,0,0
100,28,"x8",21,20,3
