"size","sim","serie","p1","p2","p3"
100,35,"x13",10,1,0
100,35,"x14",14,4,0
100,36,"x1",29,0,0
100,36,"x2",12,4,2
100,36,"x3",23,18,12
100,36,"x4",29,3,0
100,36,"x5",19,18,7
100,36,"x6",28,27,24
100,36,"x7",22,12,0
100,36,"x8",26,14,6
100,36,"x9",29,24,22
100,36,"x10",23,22,9
100,36,"x11",26,22,11
100,36,"x12",1,0,0
100,36,"x13",29,27,1
100,36,"x14",28,25,14
100,37,"x1",27,19,3
100,37,"x2",28,25,24
100,37,"x3",25,16,2
100,37,"x4",16,0,0
100,37,"x5",22,16,14
100,37,"x6",28,17,12
100,37,"x7",1,0,0
100,37,"x8",29,24,17
100,37,"x9",1,0,0
100,37,"x10",28,23,12
100,37,"x11",26,25,24
100,37,"x12",28,16,9
100,37,"x13",29,22,17
100,37,"x14",25,19,9
100,38,"x1",27,23,14
100,38,"x2",4,2,0
100,38,"x3",9,5,2
100,38,"x4",28,27,26
100,38,"x5",12,0,0
100,38,"x6",3,2,0
100,38,"x7",28,18,17
100,38,"x8",19,18,1
100,38,"x9",25,24,11
100,38,"x10",29,25,6
100,38,"x11",20,19,17
100,38,"x12",28,24,16
100,38,"x13",26,21,20
100,38,"x14",28,26,24
100,39,"x1",12,4,3
100,39,"x2",26,15,2
100,39,"x3",29,28,25
100,39,"x4",24,23,19
100,39,"x5",17,3,0
100,39,"x6",28,25,9
100,39,"x7",14,5,1
100,39,"x8",20,2,1
100,39,"x9",14,12,11
100,39,"x10",26,25,22
100,39,"x11",25,0,0
100,39,"x12",14,12,1
100,39,"x13",25,21,20
100,39,"x14",27,26,25
100,40,"x1",22,15,3
100,40,"x2",8,0,0
100,40,"x3",10,4,2
100,40,"x4",26,3,2
100,40,"x5",24,22,0
100,40,"x6",27,23,3
100,40,"x7",3,1,0
100,40,"x8",4,1,0
100,40,"x9",28,22,20
100,40,"x10",24,22,1
100,40,"x11",0,0,0
100,40,"x12",28,27,26
100,40,"x13",28,17,9
100,40,"x14",28,16,6
100,41,"x1",11,3,0
100,41,"x2",28,26,16
100,41,"x3",28,20,18
100,41,"x4",28,22,0
100,41,"x5",27,11,6
100,41,"x6",24,20,3
100,41,"x7",19,14,5
100,41,"x8",24,23,2
100,41,"x9",14,12,11
100,41,"x10",21,14,9
100,41,"x11",0,0,0
100,41,"x12",22,11,2
100,41,"x13",29,22,1
100,41,"x14",2,0,0
100,42,"x1",14,4,3
100,42,"x2",9,7,5
100,42,"x3",25,24,8
100,42,"x4",28,22,16
100,42,"x5",26,14,3
100,42,"x6",23,6,5
100,42,"x7",27,22,0
100,42,"x8",18,9,1
100,42,"x9",29,20,8
100,42,"x10",29,20,8
100,42,"x11",10,0,0
100,42,"x12",27,13,4
100,42,"x13",11,3,2
100,42,"x14",27,24,2
100,43,"x1",23,5,4
100,43,"x2",27,23,14
100,43,"x3",23,19,10
100,43,"x4",29,28,24
100,43,"x5",29,15,0
100,43,"x6",2,0,0
100,43,"x7",27,23,4
100,43,"x8",28,14,9
100,43,"x9",11,7,0
100,43,"x10",23,12,10
100,43,"x11",11,8,0
100,43,"x12",28,24,21
100,43,"x13",26,4,1
100,43,"x14",25,20,4
100,44,"x1",28,26,25
100,44,"x2",28,8,4
100,44,"x3",29,27,26
100,44,"x4",26,0,0
100,44,"x5",11,3,1
100,44,"x6",12,3,0
100,44,"x7",20,0,0
100,44,"x8",23,1,0
100,44,"x9",27,25,23
100,44,"x10",24,23,21
100,44,"x11",29,27,24
100,44,"x12",25,14,1
100,44,"x13",3,1,0
100,44,"x14",2,0,0
100,45,"x1",13,3,2
100,45,"x2",26,2,1
100,45,"x3",28,27,23
100,45,"x4",29,26,15
100,45,"x5",10,3,1
100,45,"x6",21,3,2
100,45,"x7",29,27,25
100,45,"x8",23,14,2
100,45,"x9",29,28,24
100,45,"x10",27,16,15
100,45,"x11",17,12,11
100,45,"x12",18,14,12
100,45,"x13",29,11,9
100,45,"x14",29,2,1
100,46,"x1",27,17,3
100,46,"x2",28,24,0
100,46,"x3",24,22,13
100,46,"x4",27,21,12
100,46,"x5",15,0,0
100,46,"x6",25,19,13
100,46,"x7",28,22,21
100,46,"x8",28,27,17
100,46,"x9",29,22,20
100,46,"x10",24,23,21
100,46,"x11",25,22,20
100,46,"x12",28,1,0
100,46,"x13",29,24,21
100,46,"x14",26,19,2
100,47,"x1",23,19,0
100,47,"x2",22,16,2
100,47,"x3",2,1,0
100,47,"x4",29,19,17
100,47,"x5",22,15,9
100,47,"x6",24,20,18
100,47,"x7",16,2,1
100,47,"x8",26,5,3
100,47,"x9",25,22,20
100,47,"x10",23,4,1
100,47,"x11",4,0,0
100,47,"x12",27,1,0
100,47,"x13",1,0,0
100,47,"x14",7,2,0
100,48,"x1",29,27,16
100,48,"x2",20,16,5
100,48,"x3",21,10,9
100,48,"x4",20,13,12
100,48,"x5",21,15,0
100,48,"x6",16,11,3
100,48,"x7",27,23,17
100,48,"x8",26,16,14
100,48,"x9",23,4,0
100,48,"x10",23,12,3
100,48,"x11",19,18,0
100,48,"x12",27,22,19
100,48,"x13",18,11,10
100,48,"x14",28,26,5
100,49,"x1",10,2,1
100,49,"x2",19,17,4
100,49,"x3",29,23,19
100,49,"x4",20,6,0
100,49,"x5",28,27,25
100,49,"x6",21,3,2
100,49,"x7",25,24,1
100,49,"x8",1,0,0
100,49,"x9",24,11,10
100,49,"x10",24,23,22
100,49,"x11",27,17,13
100,49,"x12",22,16,1
100,49,"x13",29,16,14
100,49,"x14",29,27,24
100,50,"x1",18,3,0
100,50,"x2",19,16,12
100,50,"x3",17,12,9
100,50,"x4",29,28,27
100,50,"x5",14,12,4
100,50,"x6",25,3,2
100,50,"x7",5,2,0
100,50,"x8",26,22,19
100,50,"x9",17,16,11
100,50,"x10",26,23,9
100,50,"x11",29,28,25
100,50,"x12",28,20,13
100,50,"x13",24,7,1
100,50,"x14",23,14,0
100,51,"x1",13,4,3
100,51,"x2",29,25,24
100,51,"x3",28,21,18
100,51,"x4",28,23,21
100,51,"x5",22,15,12
100,51,"x6",12,3,2
100,51,"x7",21,20,8
100,51,"x8",1,0,0
100,51,"x9",24,12,9
100,51,"x10",23,22,12
100,51,"x11",26,11,0
100,51,"x12",24,19,15
100,51,"x13",16,8,2
100,51,"x14",1,0,0
100,52,"x1",24,20,19
100,52,"x2",19,11,2
100,52,"x3",20,18,2
100,52,"x4",2,0,0
100,52,"x5",28,3,0
100,52,"x6",27,25,24
100,52,"x7",23,20,2
100,52,"x8",15,7,2
100,52,"x9",11,0,0
100,52,"x10",27,26,15
100,52,"x11",29,21,17
100,52,"x12",23,2,1
100,52,"x13",29,17,15
100,52,"x14",22,2,0
100,53,"x1",2,0,0
100,53,"x2",4,1,0
100,53,"x3",26,23,22
100,53,"x4",20,1,0
100,53,"x5",21,19,3
100,53,"x6",28,25,19
100,53,"x7",24,18,15
100,53,"x8",22,10,1
100,53,"x9",17,10,9
100,53,"x10",17,11,9
100,53,"x11",24,23,22
100,53,"x12",24,23,22
100,53,"x13",27,24,23
100,53,"x14",27,23,13
100,54,"x1",8,2,1
100,54,"x2",29,28,25
100,54,"x3",27,20,18
