"size","sim","serie","p1","p2","p3"
100,14,"x1",21,3,0
100,14,"x2",1,0,0
100,14,"x3",0,0,0
100,14,"x4",23,21,7
100,14,"x5",0,0,0
100,14,"x6",4,2,0
100,14,"x7",1,0,0
100,14,"x8",21,2,1
100,14,"x9",19,13,0
100,14,"x10",4,3,0
100,14,"x11",26,6,0
100,14,"x12",0,0,0
100,14,"x13",0,0,0
100,14,"x14",28,26,19
100,15,"x1",3,0,0
100,15,"x2",0,0,0
100,15,"x3",0,0,0
100,15,"x4",21,0,0
100,15,"x5",21,13,3
100,15,"x6",3,0,0
100,15,"x7",1,0,0
100,15,"x8",27,2,1
100,15,"x9",16,11,10
100,15,"x10",29,5,4
100,15,"x11",27,0,0
100,15,"x12",0,0,0
100,15,"x13",0,0,0
100,15,"x14",2,0,0
100,16,"x1",8,4,0
100,16,"x2",0,0,0
100,16,"x3",3,2,0
100,16,"x4",27,26,0
100,16,"x5",4,0,0
100,16,"x6",2,0,0
100,16,"x7",1,0,0
100,16,"x8",2,1,0
100,16,"x9",11,0,0
100,16,"x10",21,20,1
100,16,"x11",24,14,11
100,16,"x12",0,0,0
100,16,"x13",0,0,0
100,16,"x14",20,2,0
100,17,"x1",22,6,4
100,17,"x2",26,0,0
100,17,"x3",0,0,0
100,17,"x4",28,0,0
100,17,"x5",25,20,3
100,17,"x6",2,0,0
100,17,"x7",2,1,0
100,17,"x8",21,1,0
100,17,"x9",11,0,0
100,17,"x10",6,4,0
100,17,"x11",11,4,0
100,17,"x12",0,0,0
100,17,"x13",2,1,0
100,17,"x14",25,0,0
100,18,"x1",29,28,4
100,18,"x2",1,0,0
100,18,"x3",10,9,0
100,18,"x4",24,11,0
100,18,"x5",29,26,8
100,18,"x6",2,0,0
100,18,"x7",1,0,0
100,18,"x8",29,2,1
100,18,"x9",23,11,3
100,18,"x10",23,11,7
100,18,"x11",9,0,0
100,18,"x12",0,0,0
100,18,"x13",20,19,18
100,18,"x14",11,2,0
100,19,"x1",26,16,3
100,19,"x2",13,0,0
100,19,"x3",0,0,0
100,19,"x4",10,0,0
100,19,"x5",15,1,0
100,19,"x6",10,4,0
100,19,"x7",20,18,1
100,19,"x8",2,1,0
100,19,"x9",11,0,0
100,19,"x10",23,11,2
100,19,"x11",27,14,11
100,19,"x12",0,0,0
100,19,"x13",0,0,0
100,19,"x14",14,8,7
100,20,"x1",4,3,2
100,20,"x2",21,0,0
100,20,"x3",0,0,0
100,20,"x4",26,23,0
100,20,"x5",19,3,1
100,20,"x6",24,0,0
100,20,"x7",2,1,0
100,20,"x8",28,26,2
100,20,"x9",11,1,0
100,20,"x10",7,4,0
100,20,"x11",0,0,0
100,20,"x12",28,0,0
100,20,"x13",1,0,0
100,20,"x14",29,26,23
100,21,"x1",0,0,0
100,21,"x2",7,6,5
100,21,"x3",0,0,0
100,21,"x4",25,15,0
100,21,"x5",17,12,3
100,21,"x6",1,0,0
100,21,"x7",2,1,0
100,21,"x8",19,2,1
100,21,"x9",15,3,0
100,21,"x10",27,15,4
100,21,"x11",0,0,0
100,21,"x12",0,0,0
100,21,"x13",1,0,0
100,21,"x14",19,18,2
100,22,"x1",25,0,0
100,22,"x2",1,0,0
100,22,"x3",12,5,4
100,22,"x4",24,1,0
100,22,"x5",14,4,3
100,22,"x6",0,0,0
100,22,"x7",1,0,0
100,22,"x8",2,1,0
100,22,"x9",19,18,11
100,22,"x10",11,8,7
100,22,"x11",25,10,6
100,22,"x12",14,0,0
100,22,"x13",0,0,0
100,22,"x14",29,28,0
100,23,"x1",3,0,0
100,23,"x2",21,13,3
100,23,"x3",0,0,0
100,23,"x4",23,0,0
100,23,"x5",9,4,0
100,23,"x6",6,2,0
100,23,"x7",1,0,0
100,23,"x8",1,0,0
100,23,"x9",11,10,0
100,23,"x10",7,4,3
100,23,"x11",29,0,0
100,23,"x12",0,0,0
100,23,"x13",2,1,0
100,23,"x14",27,0,0
100,24,"x1",17,3,2
100,24,"x2",14,1,0
100,24,"x3",3,0,0
100,24,"x4",22,15,0
100,24,"x5",20,8,2
100,24,"x6",17,4,0
100,24,"x7",23,1,0
100,24,"x8",2,1,0
100,24,"x9",11,0,0
100,24,"x10",24,23,22
100,24,"x11",3,0,0
100,24,"x12",27,26,25
100,24,"x13",2,1,0
100,24,"x14",3,2,0
100,25,"x1",12,11,3
100,25,"x2",29,0,0
100,25,"x3",3,0,0
100,25,"x4",0,0,0
100,25,"x5",0,0,0
100,25,"x6",29,25,2
100,25,"x7",2,0,0
100,25,"x8",2,1,0
100,25,"x9",23,22,14
100,25,"x10",23,10,6
100,25,"x11",26,22,0
100,25,"x12",0,0,0
100,25,"x13",0,0,0
100,25,"x14",2,0,0
100,26,"x1",0,0,0
100,26,"x2",0,0,0
100,26,"x3",4,0,0
100,26,"x4",26,25,10
100,26,"x5",22,19,9
100,26,"x6",2,0,0
100,26,"x7",22,1,0
100,26,"x8",13,1,0
100,26,"x9",11,5,0
100,26,"x10",15,5,4
100,26,"x11",10,7,6
100,26,"x12",0,0,0
100,26,"x13",1,0,0
100,26,"x14",21,14,0
100,27,"x1",14,0,0
100,27,"x2",1,0,0
100,27,"x3",0,0,0
100,27,"x4",19,5,0
100,27,"x5",3,0,0
100,27,"x6",9,4,0
100,27,"x7",0,0,0
100,27,"x8",27,1,0
100,27,"x9",11,0,0
100,27,"x10",27,23,4
100,27,"x11",23,0,0
100,27,"x12",24,0,0
100,27,"x13",0,0,0
100,27,"x14",2,0,0
100,28,"x1",11,6,3
100,28,"x2",29,0,0
100,28,"x3",0,0,0
100,28,"x4",28,27,15
100,28,"x5",26,0,0
100,28,"x6",2,0,0
100,28,"x7",1,0,0
100,28,"x8",21,20,19
100,28,"x9",19,11,0
100,28,"x10",27,2,1
100,28,"x11",10,9,0
100,28,"x12",0,0,0
100,28,"x13",0,0,0
100,28,"x14",18,6,2
100,29,"x1",0,0,0
100,29,"x2",0,0,0
100,29,"x3",0,0,0
100,29,"x4",26,25,24
100,29,"x5",23,6,2
100,29,"x6",2,0,0
100,29,"x7",3,2,1
100,29,"x8",1,0,0
100,29,"x9",11,6,0
100,29,"x10",24,21,8
100,29,"x11",0,0,0
100,29,"x12",0,0,0
100,29,"x13",0,0,0
100,29,"x14",28,21,18
100,30,"x1",25,16,4
100,30,"x2",1,0,0
100,30,"x3",4,0,0
100,30,"x4",13,0,0
100,30,"x5",2,0,0
100,30,"x6",2,0,0
100,30,"x7",1,0,0
100,30,"x8",27,26,1
