"size","sim","serie","p1","p2","p3"
100,15,"x3",27,11,6
100,15,"x4",28,13,11
100,15,"x5",9,8,4
100,15,"x6",19,16,3
100,15,"x7",29,26,21
100,15,"x8",23,9,1
100,15,"x9",29,28,12
100,15,"x10",25,8,7
100,15,"x11",23,0,0
100,15,"x12",25,24,1
100,15,"x13",1,0,0
100,15,"x14",29,0,0
100,16,"x1",17,3,2
100,16,"x2",26,5,3
100,16,"x3",28,21,10
100,16,"x4",23,20,18
100,16,"x5",29,22,6
100,16,"x6",29,27,23
100,16,"x7",25,12,1
100,16,"x8",25,24,6
100,16,"x9",25,23,19
100,16,"x10",23,22,21
100,16,"x11",29,26,0
100,16,"x12",28,12,1
100,16,"x13",28,12,3
100,16,"x14",22,4,2
100,17,"x1",26,3,1
100,17,"x2",24,23,16
100,17,"x3",26,7,5
100,17,"x4",25,0,0
100,17,"x5",29,25,17
100,17,"x6",28,7,5
100,17,"x7",9,1,0
100,17,"x8",28,27,21
100,17,"x9",24,22,21
100,17,"x10",29,25,23
100,17,"x11",28,26,23
100,17,"x12",29,8,1
100,17,"x13",27,19,3
100,17,"x14",26,2,0
100,18,"x1",2,0,0
100,18,"x2",29,18,17
100,18,"x3",27,23,22
100,18,"x4",29,28,16
100,18,"x5",0,0,0
100,18,"x6",24,11,2
100,18,"x7",10,2,0
100,18,"x8",17,2,1
100,18,"x9",27,21,9
100,18,"x10",26,23,20
100,18,"x11",24,20,0
100,18,"x12",27,23,18
100,18,"x13",26,15,3
100,18,"x14",14,2,0
100,19,"x1",24,13,2
100,19,"x2",29,27,6
100,19,"x3",22,17,12
100,19,"x4",27,20,17
100,19,"x5",27,23,21
100,19,"x6",21,14,12
100,19,"x7",1,0,0
100,19,"x8",28,18,2
100,19,"x9",28,15,12
100,19,"x10",23,18,13
100,19,"x11",0,0,0
100,19,"x12",1,0,0
100,19,"x13",27,22,10
100,19,"x14",26,21,9
100,20,"x1",2,0,0
100,20,"x2",28,24,16
100,20,"x3",16,3,2
100,20,"x4",26,18,16
100,20,"x5",28,3,0
100,20,"x6",4,3,0
100,20,"x7",10,0,0
100,20,"x8",20,16,3
100,20,"x9",27,12,11
100,20,"x10",29,28,17
100,20,"x11",26,19,11
100,20,"x12",27,25,23
100,20,"x13",28,27,26
100,20,"x14",26,25,18
100,21,"x1",17,3,0
100,21,"x2",29,25,22
100,21,"x3",25,17,9
100,21,"x4",27,21,19
100,21,"x5",11,1,0
100,21,"x6",28,23,2
100,21,"x7",29,19,11
100,21,"x8",28,2,1
100,21,"x9",29,27,22
100,21,"x10",28,23,21
100,21,"x11",24,23,22
100,21,"x12",29,26,10
100,21,"x13",26,6,3
100,21,"x14",25,5,2
100,22,"x1",29,23,21
100,22,"x2",26,25,18
100,22,"x3",19,14,11
100,22,"x4",21,2,0
