"size","sim","serie","p1","p2","p3"
100,15,"x3",29,27,26
100,15,"x4",20,2,1
100,15,"x5",9,3,1
100,15,"x6",23,2,1
100,15,"x7",1,0,0
100,15,"x8",5,0,0
100,15,"x9",22,21,19
100,15,"x10",27,23,18
100,15,"x11",27,22,18
100,15,"x12",29,24,23
100,15,"x13",30,24,23
100,15,"x14",5,0,0
100,16,"x1",14,3,0
100,16,"x2",29,28,8
100,16,"x3",26,14,2
100,16,"x4",29,11,1
100,16,"x5",22,1,0
100,16,"x6",2,1,0
100,16,"x7",13,1,0
100,16,"x8",26,24,15
100,16,"x9",29,24,19
100,16,"x10",30,11,8
100,16,"x11",14,1,0
100,16,"x12",20,6,1
100,16,"x13",14,10,1
100,16,"x14",30,29,0
100,17,"x1",1,0,0
100,17,"x2",28,26,6
100,17,"x3",3,1,0
100,17,"x4",8,1,0
100,17,"x5",1,0,0
100,17,"x6",2,1,0
100,17,"x7",25,22,21
100,17,"x8",16,6,1
100,17,"x9",15,2,0
100,17,"x10",19,0,0
100,17,"x11",24,22,19
100,17,"x12",2,1,0
100,17,"x13",25,24,17
100,17,"x14",19,15,4
100,18,"x1",3,0,0
100,18,"x2",20,1,0
100,18,"x3",30,17,14
100,18,"x4",1,0,0
100,18,"x5",28,1,0
100,18,"x6",2,1,0
100,18,"x7",21,11,2
100,18,"x8",18,4,1
100,18,"x9",21,0,0
100,18,"x10",15,0,0
100,18,"x11",22,0,0
100,18,"x12",1,0,0
100,18,"x13",29,21,20
100,18,"x14",29,14,0
100,19,"x1",22,4,0
100,19,"x2",28,24,11
100,19,"x3",7,1,0
100,19,"x4",2,1,0
100,19,"x5",16,1,0
100,19,"x6",5,2,1
100,19,"x7",13,1,0
100,19,"x8",30,29,19
100,19,"x9",19,16,15
100,19,"x10",30,0,0
100,19,"x11",29,26,19
100,19,"x12",18,2,1
100,19,"x13",27,23,19
100,19,"x14",19,0,0
100,20,"x1",23,21,11
100,20,"x2",29,19,18
100,20,"x3",26,7,2
100,20,"x4",23,10,1
100,20,"x5",5,1,0
100,20,"x6",7,2,1
