"size","sim","serie","p1","p2","p3"
100,15,"x3",29,28,11
100,15,"x4",16,14,0
100,15,"x5",9,8,4
100,15,"x6",27,19,16
100,15,"x7",29,26,24
100,15,"x8",24,23,9
100,15,"x9",29,26,12
100,15,"x10",15,10,7
100,15,"x11",13,2,0
100,15,"x12",29,28,9
100,15,"x13",21,19,7
100,15,"x14",29,2,0
100,16,"x1",21,2,1
100,16,"x2",26,5,1
100,16,"x3",24,10,8
100,16,"x4",22,19,16
100,16,"x5",29,28,23
100,16,"x6",27,24,3
100,16,"x7",12,1,0
100,16,"x8",29,25,1
100,16,"x9",23,18,13
100,16,"x10",25,23,16
100,16,"x11",0,0,0
100,16,"x12",25,8,1
100,16,"x13",28,25,20
100,16,"x14",4,2,0
100,17,"x1",26,3,1
100,17,"x2",28,24,16
100,17,"x3",5,2,1
100,17,"x4",27,25,9
100,17,"x5",29,25,21
100,17,"x6",5,2,0
100,17,"x7",17,12,1
100,17,"x8",28,27,21
100,17,"x9",24,22,21
100,17,"x10",29,23,22
100,17,"x11",28,23,0
100,17,"x12",14,8,6
100,17,"x13",21,7,3
100,17,"x14",26,2,0
100,18,"x1",14,2,0
100,18,"x2",18,17,8
100,18,"x3",27,25,23
100,18,"x4",16,0,0
100,18,"x5",0,0,0
100,18,"x6",24,13,11
100,18,"x7",0,0,0
100,18,"x8",29,17,2
100,18,"x9",23,22,21
100,18,"x10",19,7,4
100,18,"x11",22,3,0
100,18,"x12",16,15,5
100,18,"x13",27,16,6
100,18,"x14",2,0,0
100,19,"x1",24,15,13
100,19,"x2",29,2,0
100,19,"x3",29,23,2
100,19,"x4",23,20,0
100,19,"x5",27,23,21
100,19,"x6",25,21,9
100,19,"x7",2,1,0
100,19,"x8",28,15,5
100,19,"x9",21,15,12
100,19,"x10",29,23,18
100,19,"x11",27,22,17
100,19,"x12",1,0,0
100,19,"x13",28,25,13
100,19,"x14",21,19,9
100,20,"x1",12,3,2
100,20,"x2",24,16,3
100,20,"x3",24,2,1
100,20,"x4",28,26,13
100,20,"x5",28,3,0
100,20,"x6",3,0,0
