"size","sim","serie","p1"
100,19,"x9",2
100,19,"x10",2
100,19,"x11",1
100,19,"x12",2
100,19,"x13",4
100,19,"x14",3
100,20,"x1",3
100,20,"x2",4
100,20,"x3",4
100,20,"x4",2
100,20,"x5",1
100,20,"x6",1
100,20,"x7",1
100,20,"x8",2
100,20,"x9",2
100,20,"x10",5
100,20,"x11",1
100,20,"x12",2
100,20,"x13",2
100,20,"x14",1
100,21,"x1",1
100,21,"x2",5
100,21,"x3",4
100,21,"x4",1
100,21,"x5",2
100,21,"x6",1
100,21,"x7",1
100,21,"x8",3
100,21,"x9",1
100,21,"x10",11
100,21,"x11",1
100,21,"x12",2
100,21,"x13",4
100,21,"x14",3
100,22,"x1",4
100,22,"x2",3
100,22,"x3",3
100,22,"x4",1
100,22,"x5",1
100,22,"x6",1
100,22,"x7",1
100,22,"x8",2
100,22,"x9",1
100,22,"x10",6
100,22,"x11",5
100,22,"x12",2
100,22,"x13",2
100,22,"x14",1
100,23,"x1",2
100,23,"x2",3
100,23,"x3",4
100,23,"x4",1
100,23,"x5",1
100,23,"x6",1
100,23,"x7",1
100,23,"x8",2
100,23,"x9",1
100,23,"x10",5
100,23,"x11",1
100,23,"x12",2
100,23,"x13",4
100,23,"x14",1
100,24,"x1",4
100,24,"x2",3
100,24,"x3",3
100,24,"x4",1
100,24,"x5",1
100,24,"x6",1
100,24,"x7",2
100,24,"x8",3
100,24,"x9",2
100,24,"x10",2
100,24,"x11",2
100,24,"x12",2
100,24,"x13",2
100,24,"x14",1
100,25,"x1",2
100,25,"x2",1
100,25,"x3",3
100,25,"x4",1
100,25,"x5",2
100,25,"x6",2
100,25,"x7",1
100,25,"x8",3
100,25,"x9",2
100,25,"x10",2
100,25,"x11",1
100,25,"x12",2
100,25,"x13",2
100,25,"x14",1
100,26,"x1",1
100,26,"x2",3
100,26,"x3",3
100,26,"x4",1
100,26,"x5",1
100,26,"x6",1
100,26,"x7",2
100,26,"x8",2
100,26,"x9",2
100,26,"x10",4
100,26,"x11",1
100,26,"x12",2
100,26,"x13",2
100,26,"x14",1
100,27,"x1",1
100,27,"x2",3
100,27,"x3",6
100,27,"x4",1
100,27,"x5",1
100,27,"x6",2
100,27,"x7",1
100,27,"x8",2
100,27,"x9",1
100,27,"x10",5
100,27,"x11",1
100,27,"x12",2
100,27,"x13",2
100,27,"x14",1
100,28,"x1",1
100,28,"x2",1
100,28,"x3",4
100,28,"x4",2
100,28,"x5",1
100,28,"x6",2
100,28,"x7",1
100,28,"x8",3
100,28,"x9",1
100,28,"x10",8
100,28,"x11",1
100,28,"x12",3
100,28,"x13",5
100,28,"x14",3
100,29,"x1",4
100,29,"x2",3
100,29,"x3",4
100,29,"x4",3
100,29,"x5",1
100,29,"x6",1
100,29,"x7",1
100,29,"x8",4
100,29,"x9",1
100,29,"x10",4
100,29,"x11",1
100,29,"x12",2
